date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry,job_details
17Jun2024-13:41:13,184,3937831232,Data Analyst 2,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet","Analytical Skills, Analytics, Communication, Dashboards, Data Analytics, Data Extraction, Data Modeling, Data Science, Data Visualization, and Visualization"
17Jun2024-13:41:28,184,3908297138,Data Engineer,Advarra,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"501-1,000 employees",Pharmaceutical Manufacturing,"Communication, Data Architecture, Data Engineering, Data Modeling, Data Science, Extract, Transform, Load (ETL), Query Writing, Statistical Concepts, Stored Procedures, and Written Communication"
17Jun2024-13:41:44,184,3938839959,Media Analyst,LTIMindtree,"Bengaluru, Karnataka, India",Reposted 1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Ad Hoc Reporting, Analytical Skills, Analytics, Data Analytics, Data Monitoring, Digital Media, Marketing, Microsoft PowerPoint, Presentations, and Python (Programming Language)"
17Jun2024-13:41:59,184,3940405069,Data Engineer - Target India,Target,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Retail,"Apache Spark, Azure Data Factory, Big Data, Data Engineering, Hive, Java, PySpark, Python (Programming Language), SQL, and Scala"
17Jun2024-13:42:15,184,3927435306,Analyst - DTS,Acuity Knowledge Partners,"Bengaluru, Karnataka, India",3 weeks ago,97 applicants,,,On-site Full-time Entry level,"5,001-10,000 employees",Financial Services,"Analytical Skills, Analytics, Communication, Computer Science, Databases, Interpersonal Skills, Pressure Situations, Problem Solving, Skilled Multi-tasker, and User Defined Functions"
17Jun2024-13:42:30,184,3937207450,Data Engineer,RWS Group,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"5,001-10,000 employees",Translation and Localization,"Data Cleaning, Data Engineering, Data Manipulation, Data Modeling, Databases, Datasets, Extract, Transform, Load (ETL), Query Optimization, SQL Server Integration Services (SSIS), and Stored Procedures"
17Jun2024-13:42:56,184,3920852471,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-13:43:16,184,3933470335,Managed Services -Data Analytics Specialist - BI Engineer-Specialist,PwC Acceleration Centers in India,"Bengaluru, Karnataka, India",2 weeks ago,93 applicants,,,On-site Full-time Entry level,"10,001+ employees",Professional Services,"Data Analytics, Data Governance, Data Privacy, Managed Services, Master Data Management, Metadata, Metadata Management, Problem Management, Professional Skills, and Service-Level Agreements (SLA)"
17Jun2024-13:43:37,184,3873649748,Engineering-Bengaluru-Analyst-Software Engineering,Goldman Sachs,"Bengaluru, Karnataka, India",Reposted 4 days ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Financial Services,"Business Requirements, Data Models, Detailed Design, Implementation Plans, Process Simulation, Programming Concepts, Software Design, Technical Specs, User Acceptance Testing, and Work Process Development"
17Jun2024-13:43:57,184,3941413422,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",1 week ago,34 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-13:44:18,184,3908458951,Analyst - Regulatory Analytics and Insights,Elanco,"Bengaluru East, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"5,001-10,000 employees",Pharmaceutical Manufacturing,"DAX, Data Analytics, Data Models, Datasets, Query Writing, Regulatory Reporting, Regulatory Requirements, Reporting Requirements, Stored Procedures, and User Requirements"
17Jun2024-13:44:38,184,3924209149,"Research Associate - Invitro, Discovery Biology.",Jubilant Biosys Limited,"Bengaluru, Karnataka, India",Reposted 1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"501-1,000 employees",Research,"Assay Development, Cell Based Assays, Data Analysis, Data Analytics, High-Performance Liquid Chromatography (HPLC), Microbiology, Record Keeping, Research Skills, Standard Operating Procedure (SOP), and Statistical Analysis"
17Jun2024-13:45:24,184,3938244001,Data Engineer,,,,,,,On-site Full-time Entry level,,,
